Product ID,Sub-Category,Category,Total_Quantity,Total_Sales,Total_Profit,Cumulative_Sales,Cumulative_Pct,ABC_Class
TEC-CO-10004722,Copiers,Technology,20,61599.824,25199.928,61599.824,0.02681516669463351,A
OFF-BI-10003527,Binders,Office Supplies,31,27453.384000000002,7753.039,89053.208,0.03876596493541719,A
TEC-MA-10002412,Machines,Technology,6,22638.48,-1811.0784,111691.688,0.04862077580164834,A
FUR-CH-10002024,Chairs,Furniture,39,21870.576,5.684341886080802e-14,133562.264,0.058141308541281675,A
OFF-BI-10001359,Binders,Office Supplies,37,19823.479,2233.5051000000003,153385.743,0.06677071459043803,A
OFF-BI-10000545,Binders,Office Supplies,48,19024.5,760.9799999999996,172410.243,0.07505231518043412,A
TEC-CO-10001449,Copiers,Technology,38,18839.686,6983.8836,191249.929,0.08325346394612788,A
TEC-MA-10001127,Machines,Technology,12,18374.895,4094.9766,209624.824,0.09125228343011517,A
OFF-BI-10004995,Binders,Office Supplies,27,17965.068,-1878.1662000000003,227589.892,0.09907270014267633,A
OFF-SU-10000151,Supplies,Office Supplies,11,17030.311999999998,-262.00480000000005,244620.204,0.10648620598551149,A
TEC-MA-10000822,Machines,Technology,18,16829.901,-4589.973,261450.105,0.11381247043667583,A
OFF-SU-10002881,Supplies,Office Supplies,22,16656.2,-1299.1836,278106.305,0.12106312069014334,A
OFF-BI-10001120,Binders,Office Supplies,13,15875.916000000001,3345.2823,293982.221,0.12797410364960765,A
FUR-BO-10004834,Bookcases,Furniture,24,15610.9656,-669.5448000000001,309593.1866,0.13476975041684824,A
TEC-MA-10001047,Machines,Technology,11,14299.89,3717.9714000000004,323893.07660000003,0.14099466972935995,A
TEC-PH-10001459,Phones,Technology,39,13943.668,1822.7566,337836.74460000003,0.147064521191186,A
TEC-AC-10002049,Accessories,Technology,60,13756.536,4425.343199999999,351593.28060000006,0.1530529117745865,A
TEC-PH-10002885,Phones,Technology,24,12996.600000000002,1611.5784,364589.88060000003,0.15871049280052374,A
FUR-TA-10003473,Tables,Furniture,46,12995.2915,-327.2331,377585.1721,0.16436750422019683,A
FUR-CH-10001215,Chairs,Furniture,32,12975.382,951.8620000000001,390560.5541,0.17001584878781356,A
FUR-BO-10002213,Bookcases,Furniture,42,12921.643,19.68640000000002,403482.1971,0.1756408001028294,A
TEC-CO-10003763,Copiers,Technology,19,11619.833999999999,4570.9347,415102.03109999996,0.1806990578289224,A
FUR-CH-10004287,Chairs,Furniture,53,11572.78,1179.374,426674.8111,0.18573683236575098,A
OFF-AP-10002945,Appliances,Office Supplies,40,11304.44,3247.02,437979.2511,0.190657795175474,A
TEC-AC-10003832,Accessories,Technology,75,11203.756,1987.9252999999999,449183.0071,0.19553492899238228,A
TEC-MA-10000418,Machines,Technology,9,11099.963,-8879.9704,460282.9701,0.20036688043025108,A
OFF-ST-10000078,Storage,Office Supplies,43,10925.003999999999,1575.1098,471207.9741,0.2051226700474347,A
TEC-AC-10003033,Accessories,Technology,35,10822.36,3085.0325000000003,482030.3341,0.20983377745951648,A
FUR-CH-10000454,Chairs,Furniture,51,10637.528,1927.442,492667.86209999997,0.21446442521167292,A
FUR-TA-10000198,Tables,Furniture,27,9917.640000000001,-2876.1156,502585.5021,0.21878169679701648,A
OFF-ST-10003716,Storage,Office Supplies,47,9630.856,429.7882,512216.35809999995,0.2229741277535077,A
FUR-TA-10001889,Tables,Furniture,33,9544.725,-1934.3976,521761.08309999993,0.22712906481841613,A
TEC-MA-10000488,Machines,Technology,14,9279.884,1327.9834,531040.9670999999,0.23116871331427646,A
OFF-ST-10004459,Storage,Office Supplies,28,9158.296,-825.7479999999999,540199.2630999999,0.2351554330470925,A
